index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),175.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,65549697216.0,0.018,2.484
,,697283.0,0.026,2.484
,,697350.0,0.032,2.482
,,697417.0,0.04,2.482
,,697540.0,0.054,2.484
,,697608.0,0.062,2.486
,,697674.0,0.07,2.482
,,697742.0,0.076,2.484
,,697865.0,0.09,2.484
,,697932.0,0.098,2.484
,,697999.0,0.106,2.486
,,698122.0,0.12,2.484
,,698189.0,0.128,2.486
,,698256.0,0.136,2.486
,,698380.0,0.15,2.492
,,698446.0,0.156,2.486
,,698514.0,0.164,2.486
,,698580.0,0.172,2.486
,,698703.0,0.186,2.486
,,698771.0,0.194,2.486
,,698839.0,0.2,2.488
,,698905698961.0,0.214,2.486
,,699029.0,0.222,2.488
,,699096.0,0.228,2.488
,,699163.0,0.236,2.486
,,699231.0,0.244,2.488
,,699421.0,0.266,2.488
,,699488.0,0.272,2.486
,,699555.0,0.28,2.488
,,699678.0,0.294,2.488
,,699746.0,0.302,2.488
,,699813.0,0.308,2.488
,,699936.0,0.322,2.488
,,700004.0,0.33,2.488
,,700070.0,0.336,2.488
,,70700194.0,0.35,2.488
,,700261.0,0.358,2.49
,,700328.0,0.366,2.488
,,7003700452.0,0.378,2.488
,,700519.0,0.386,2.49
,,700587.0,0.392,2.488
,,700653.0,0.4,2.49
,,700777.0,0.414,2.49
,,700845.0,0.422,2.49
,,700911.0,0.43,2.488
,,700979.0,0.438,2.49
,,701102.0,0.452,2.488
,,701169.0,0.46,2.49
,,701237.0,0.468,2.49
,,701303.0,0.474,2.49
,,701427.0,0.488,2.49
,,701494.0,0.496,2.49
,,701561.0,0.504,2.492
,,701684.0,0.518,2.49
,,701752.0,0.524,2.492
,,701819.0,0.532,2.49
,,7701942.0,0.546,2.49
,,702010.0,0.552,2.49
,,702076.0,0.56,2.49
,,7021702200.0,0.574,2.49
,,702267.0,0.582,2.492
,,702334.0,0.59,2.492
,,702402.0,0.598,2.492
,,702525.0,0.612,2.492
,,702593.0,0.62,2.492
,,702660.0,0.628,2.492
,,702727.0,0.636,2.492
,,702851.0,0.648,2.492
,,702917.0,0.656,2.494
,,702985.0,0.664,2.492
,,703052.0,0.67,2.492
,,703175.0,0.684,2.494
,,703243.0,0.692,2.494
,,703309.0,0.7,2.494
,,703433.0,0.712,2.494
,,703500.0,0.72,2.494
,,703567.0,0.726,2.494
,,7703690.0,0.74,2.494
,,703758.0,0.748,2.496
,,703825.0,0.756,2.494
,,70703948.0,0.77,2.494
,,704016.0,0.776,2.496
,,704082.0,0.784,2.496
,,70415704206.0,0.798,2.496
,,704273.0,0.806,2.496
,,704340.0,0.812,2.496
,,704531.0,0.834,2.496
,,704599.0,0.84,2.496
,,704666.0,0.848,2.496
,,704789.0,0.862,2.498
,,704857.0,0.87,2.498
,,704923.0,0.878,2.498
,,704991.0,0.884,2.498
,,705114.0,0.898,2.498
,,705181.0,0.906,2.498
,,705249.0,0.912,2.498
,,705315.0,0.92,2.498
,,705439.0,0.934,2.498
,,705506.0,0.942,2.498
,,705573.0,0.95,2.5
,,705696.0,0.964,2.498
,,705764.0,0.97,2.498
,,705831.0,0.978,2.5
,,70589705954.0,0.992,2.5
,,706022.0,0.998,2.5
,,706088.0,1.006,2.5
,,706156706212.0,1.02,2.5
,,706279.0,1.026,2.5
,,706347.0,1.034,2.5
,,706537.0,1.056,2.5
,,706605.0,1.064,2.5
,,706795.0,1.084,2.5
,,706863.0,1.092,2.5
,,707053.0,1.114,2.5
,,707120.0,1.122,2.502
,,707187.0,1.128,2.5
,,707255.0,1.136,2.5
,,707378.0,1.15,2.5
,,707445.0,1.156,2.5
,,707512.0,1.162,2.5
,,707636.0,1.178,2.5
,,707702.0,1.184,2.504
,,707770.0,1.192,2.502
,,707837.0,1.2,2.502
,,707960.0,1.214,2.502
,,708028.0,1.222,2.502
,,708094.0,1.23,2.502
,,708286.0,1.252,2.502
,,708353.0,1.26,2.502
,,708543.0,1.282,2.502
,,708611.0,1.29,2.504
,,708801.0,1.31,2.504
,,708869.0,1.318,2.504
,,708935.0,1.324,2.506
,,709003.0,1.332,2.504
,,709070.0,1.34,2.506
,,709193.0,1.352,2.508
,,709261.0,1.36,2.508
,,709327.0,1.368,2.51
,,709709451.0,1.382,2.512
,,709518.0,1.39,2.514
,,709585.0,1.398,2.514
,,70965709708.0,1.41,2.518
,,709776.0,1.418,2.52
,,709843.0,1.426,2.522
,,710034.0,1.446,2.53
,,710100.0,1.454,2.534
,,710168.0,1.462,2.536
,,710292.0,1.474,2.542
,,710359.0,1.482,2.548
,,710426.0,1.49,2.552
,,710494.0,1.498,2.556
,,710617.0,1.51,2.566
,,710684.0,1.518,2.572
,,710751.0,1.526,2.576
,,710875.0,1.54,2.586
,,710941.0,1.548,2.592
,,711009.0,1.554,2.598
,,711076.0,1.562,2.604
,,71711199.0,1.576,2.616
,,711267.0,1.584,2.622
,,711333.0,1.592,2.63
,,7114711457.0,1.606,2.642
,,711524.0,1.612,2.648
,,711591.0,1.62,2.656
,,711659711714.0,1.632,2.67
,,711782.0,1.64,2.674
,,711849.0,1.648,2.682
,,711916.0,1.656,2.69
,,712040.0,1.668,2.7
,,712108.0,1.676,2.706
,,712174.0,1.684,2.714
,,712242.0,1.69,2.72
,,712309.0,1.698,2.726
,,712432.0,1.712,2.734
,,712500.0,1.72,2.738
,,712566.0,1.726,2.742
,,712690.0,1.74,2.746
,,712757.0,1.748,2.746
,,712824.0,1.756,2.746
,,7712947.0,1.77,2.744
,,713015.0,1.776,2.74
,,713082.0,1.784,2.736
,,7131713205.0,1.798,2.726
,,713273.0,1.804,2.72
,,713339.0,1.812,2.712
,,713407713463.0,1.826,2.696
,,713530.0,1.832,2.688
,,713597.0,1.84,2.678
,,713788.0,1.862,2.652
,,713856.0,1.87,2.644
,,714046.0,1.892,2.62
,,714114.0,1.9,2.614
,,714304.0,1.922,2.598
,,714371.0,1.928,2.594
,,714561.0,1.95,2.586
,,714629.0,1.956,2.586
,,714696.0,1.964,2.582
,,714819.0,1.978,2.578
,,714887.0,1.986,2.578
,,714953.0,1.992,2.576
,,715077.0,2.006,2.574
,,715145.0,2.014,2.574
,,715211.0,2.022,2.574
,,715279.0,2.028,2.572
,,715346.0,2.036,2.572
,,715470.0,2.034,2.56
,,715537.0,2.028,2.554
,,715728.0,2.006,2.544
,,715796.0,1.998,2.542
,,715986.0,1.978,2.536
,,716053.0,1.97,2.536
,,716121.0,1.964,2.534
,,716243.0,1.95,2.53
,,716311.0,1.942,2.53
,,716379.0,1.934,2.528
,,716502.0,1.922,2.528
,,716569.0,1.914,2.526
,,716636.0,1.906,2.526
,,716703.0,1.898,2.524
,,716826.0,1.884,2.522
,,716961.0,1.87,2.522
,,717028.0,1.862,2.52
,,717218.0,1.838,2.518
,,717286.0,1.832,2.518
,,717476.0,1.81,2.516
,,717544.0,1.804,2.516
,,717611.0,1.796,2.516
,,717678.0,1.788,2.514
,,717746.0,1.782,2.514
,,717869.0,1.768,2.512
,,717936.0,1.76,2.512
,,718003.0,1.754,2.512
,,718193.0,1.732,2.51
,,718261.0,1.724,2.51
,,718451.0,1.704,2.506
,,718519.0,1.696,2.508
,,718709.0,1.674,2.506
,,718776.0,1.668,2.504
,,718843.0,1.66,2.506
,,718966.0,1.648,2.504
,,719034.0,1.64,2.504
,,719101.0,1.632,2.504
,,719168.0,1.624,2.504
,,719292.0,1.612,2.502
,,719358.0,1.604,2.502
,,719426.0,1.596,2.502
,,719549.0,1.584,2.5
,,719617.0,1.574,2.5
,,719684.0,1.568,2.498
,,719751.0,1.56,2.5
,,719875.0,1.546,2.498
,,719941.0,1.538,2.498
,,720009.0,1.53,2.498
,,720132.0,1.516,2.498
,,720199.0,1.51,2.496
,,720267.0,1.502,2.496
,,720457.0,1.482,2.494
,,720524.0,1.474,2.494
,,720591.0,1.466,2.494
,,720714.0,1.452,2.494
,,720782.0,1.446,2.494
,,720849.0,1.438,2.494
,,720972.0,1.424,2.492
,,721040.0,1.416,2.492
,,721106.0,1.41,2.492
,,72721230.0,1.396,2.492
,,721297.0,1.388,2.492
,,721364.0,1.38,2.492
,,72143721487.0,1.366,2.492
,,721555.0,1.36,2.49
,,721623.0,1.352,2.49
,,721689.0,1.344,2.49
,,721813.0,1.33,2.49
,,721880.0,1.324,2.49
,,721947.0,1.316,2.49
,,722015.0,1.31,2.49
,,722138.0,1.296,2.49
,,722205.0,1.288,2.49
,,722328.0,1.274,2.49
,,722396.0,1.266,2.488
,,722462.0,1.258,2.49
,,722530.0,1.252,2.488
,,722653.0,1.236,2.488
,,722720.0,1.228,2.488
,,722788.0,1.22,2.488
,,722854.0,1.212,2.488
,,722978.0,1.198,2.488
,,723045.0,1.19,2.488
,,723112.0,1.184,2.488
,,723303.0,1.162,2.488
,,723371.0,1.156,2.488
,,723561.0,1.134,2.488
,,723628.0,1.128,2.488
,,723818.0,1.106,2.488
,,723886.0,1.098,2.488
,,723953.0,1.092,2.488
,,724076.0,1.076,2.488
,,724144.0,1.07,2.488
,,724210.0,1.062,2.488
,,724278.0,1.054,2.488
,,724401.0,1.04,2.486
,,724468.0,1.032,2.486
,,724536.0,1.026,2.486
,,724659.0,1.012,2.486
,,724726.0,1.004,2.486
,,724793.0,0.998,2.486
,,724860.0,0.99,2.486
,,724983.0,0.976,2.486
,,725051.0,0.97,2.486
,,725118.0,0.962,2.486
,,725241.0,0.948,2.484
,,725309.0,0.942,2.486
,,725376.0,0.934,2.484
,,725566.0,0.912,2.484
,,725634.0,0.904,2.484
,,725701.0,0.898,2.484
,,725824.0,0.884,2.482
,,725892.0,0.876,2.482
,,725958.0,0.868,2.482
,,726082.0,0.854,2.482
,,726149.0,0.848,2.482
,,726216.0,0.84,2.48
,,72726339.0,0.826,2.48
,,726407.0,0.818,2.48
,,726474.0,0.812,2.48
,,72654726597.0,0.798,2.478
,,726665.0,0.79,2.478
,,726731.0,0.782,2.478
,,726922.0,0.762,2.478
,,726989.0,0.754,2.478
,,727180.0,0.732,2.476
,,727247.0,0.726,2.478
,,727314.0,0.718,2.476
,,727438.0,0.704,2.476
,,727449.0,0.704,2.478
,,727572.0,0.69,2.476
,,727640.0,0.682,2.476
,,727706.0,0.676,2.476
,,727727830.0,0.662,2.476
,,727897.0,0.654,2.476
,,727964.0,0.648,2.478
,,72803728087.0,0.634,2.478
,,728155.0,0.626,2.478
,,728222.0,0.618,2.476
,,728413.0,0.596,2.478
,,728479.0,0.588,2.478
,,728547.0,0.58,2.478
,,728670.0,0.566,2.478
,,728737.0,0.558,2.478
,,728805.0,0.552,2.478
,,728871.0,0.544,2.478
,,728995.0,0.53,2.478
,,729062.0,0.524,2.478
,,729129.0,0.516,2.478
,,729197.0,0.508,2.478
,,729320.0,0.494,2.478
,,729388.0,0.488,2.478
,,729454.0,0.48,2.478
,,72952729578.0,0.466,2.48
,,729645.0,0.458,2.478
,,729712.0,0.45,2.478
,,729903.0,0.428,2.478
,,729970.0,0.42,2.478
,,730161.0,0.398,2.478
,,730227.0,0.392,2.478
,,730418.0,0.372,2.478
,,730485.0,0.364,2.478
,,730553.0,0.356,2.478
,,730676.0,0.344,2.478
,,730743.0,0.336,2.478
,,730810.0,0.328,2.48
,,730877.0,0.322,2.478
,,730945.0,0.314,2.478
,,731012731068.0,0.3,2.476
,,731136.0,0.292,2.478
,,731202.0,0.284,2.478
,,731393.0,0.264,2.478
,,731460.0,0.256,2.476
,,731528.0,0.248,2.478
,,731651.0,0.234,2.478
,,731718.0,0.228,2.478
,,731785.0,0.22,2.476
,,731852.0,0.212,2.476
,,731920.0,0.206,2.476
,,732043.0,0.192,2.478
,,732110.0,0.184,2.476
,,732177.0,0.176,2.476
,,732300.0,0.164,2.476
,,732367.0,0.156,2.476
,,732434.0,0.148,2.474
,,732558.0,0.134,2.474
,,732624.0,0.126,2.476
,,732692.0,0.118,2.476
,,732815.0,0.104,2.472
,,732881.0,0.098,2.472
,,732949.0,0.09,2.478
,,733016.0,0.082,2.47
,,733139.0,0.068,2.47
,,733206.0,0.06,2.47
,,733274.0,0.052,2.472
,,733340.0,0.046,2.47
,,733463.0,0.032,2.466
,,733531.0,0.024,2.468
,,733597.0,0.018,2.466
,,733720.0,0.004,2.466
